num_cands,num_voters,pm,vm,perc_diff_sc,perc_diff_sc_ec,perc_refine_sc,perc_supset_sc,perc_disjoint_sc,num_profiles
10,"(100, 101)",MALLOWS-RELPHI-R,Beat Path,0.01078,0.0194,0.01078,0.0,0.0,50000
10,"(500, 501)",MALLOWS-RELPHI-R,Beat Path,0.00518,0.00546,0.00518,0.0,0.0,50000
10,"(1000, 1001)",MALLOWS-RELPHI-R,Beat Path,0.00406,0.00334,0.00406,0.0,0.0,50000
10,"(5000, 5001)",MALLOWS-RELPHI-R,Beat Path,0.00142,0.00108,0.00142,0.0,0.0,50000
20,"(4, 5)",MALLOWS-RELPHI-R,Beat Path,0.01978,0.2516,0.01978,0.0,0.0,50000
20,"(10, 11)",MALLOWS-RELPHI-R,Beat Path,0.05664,0.15986,0.05664,0.0,0.0,50000
20,"(20, 21)",MALLOWS-RELPHI-R,Beat Path,0.05418,0.109,0.05418,0.0,0.0,50000
20,"(50, 51)",MALLOWS-RELPHI-R,Beat Path,0.0389,0.06182,0.0389,0.0,0.0,50000
20,"(100, 101)",MALLOWS-RELPHI-R,Beat Path,0.02966,0.03728,0.02966,0.0,0.0,50000
20,"(500, 501)",MALLOWS-RELPHI-R,Beat Path,0.0135,0.01186,0.0135,0.0,0.0,50000
20,"(1000, 1001)",MALLOWS-RELPHI-R,Beat Path,0.00958,0.00774,0.00958,0.0,0.0,50000
20,"(5000, 5001)",MALLOWS-RELPHI-R,Beat Path,0.00456,0.00296,0.00456,0.0,0.0,50000
30,"(4, 5)",MALLOWS-RELPHI-R,Beat Path,0.04064,0.2978,0.04064,0.0,0.0,50000
30,"(10, 11)",MALLOWS-RELPHI-R,Beat Path,0.09008,0.20484,0.09008,0.0,0.0,50000
30,"(20, 21)",MALLOWS-RELPHI-R,Beat Path,0.08166,0.14288,0.08166,0.0,0.0,50000
30,"(50, 51)",MALLOWS-RELPHI-R,Beat Path,0.06068,0.08196,0.06068,0.0,0.0,50000
30,"(100, 101)",MALLOWS-RELPHI-R,Beat Path,0.0464,0.0545,0.0464,0.0,0.0,50000
30,"(500, 501)",MALLOWS-RELPHI-R,Beat Path,0.02162,0.0189,0.02162,0.0,0.0,50000
30,"(1000, 1001)",MALLOWS-RELPHI-R,Beat Path,0.01552,0.01232,0.01552,0.0,0.0,50000
30,"(5000, 5001)",MALLOWS-RELPHI-R,Beat Path,0.0065,0.00424,0.0065,0.0,0.0,50000
5,"(4, 5)",MALLOWS_2REF-RELPHI-R,Beat Path,0.00032,0.21586,0.00032,0.0,0.0,50000
5,"(10, 11)",MALLOWS_2REF-RELPHI-R,Beat Path,0.01,0.15078,0.01,0.0,0.0,50000
5,"(20, 21)",MALLOWS_2REF-RELPHI-R,Beat Path,0.01708,0.12104,0.01708,0.0,0.0,50000
5,"(50, 51)",MALLOWS_2REF-RELPHI-R,Beat Path,0.02288,0.08584,0.02288,0.0,0.0,50000
