num_cands,num_voters,pm,vm,num_profiles,perc_mult_winners
30,"(20, 21)",IC,GETCHA,50000,0.82046
30,"(20, 21)",IC,Uncovered Set,50000,0.82046
30,"(50, 51)",IC,Split Cycle,50000,0.61694
30,"(50, 51)",IC,Beat Path,50000,0.30286
30,"(50, 51)",IC,Copeland,50000,0.15962
30,"(50, 51)",IC,GETCHA,50000,0.81216
30,"(50, 51)",IC,Uncovered Set,50000,0.81216
30,"(100, 101)",IC,Split Cycle,50000,0.57564
30,"(100, 101)",IC,Beat Path,50000,0.23
30,"(100, 101)",IC,Copeland,50000,0.16014
30,"(100, 101)",IC,GETCHA,50000,0.80106
30,"(100, 101)",IC,Uncovered Set,50000,0.80106
30,"(500, 501)",IC,Split Cycle,50000,0.50416
30,"(500, 501)",IC,Beat Path,50000,0.11214
30,"(500, 501)",IC,Copeland,50000,0.16746
30,"(500, 501)",IC,GETCHA,50000,0.78322
30,"(500, 501)",IC,Uncovered Set,50000,0.78322
30,"(1000, 1001)",IC,Split Cycle,50000,0.48464
30,"(1000, 1001)",IC,Beat Path,50000,0.08226
30,"(1000, 1001)",IC,Copeland,50000,0.17086
30,"(1000, 1001)",IC,GETCHA,50000,0.77642
30,"(1000, 1001)",IC,Uncovered Set,50000,0.77642
30,"(5000, 5001)",IC,Split Cycle,50000,0.45566
30,"(5000, 5001)",IC,Beat Path,50000,0.0369
30,"(5000, 5001)",IC,Copeland,50000,0.1832
30,"(5000, 5001)",IC,GETCHA,50000,0.77008
30,"(5000, 5001)",IC,Uncovered Set,50000,0.77008
5,"(4, 5)",IAC,Split Cycle,50000,0.3856
5,"(4, 5)",IAC,Beat Path,50000,0.3853
5,"(4, 5)",IAC,Copeland,50000,0.18784
5,"(4, 5)",IAC,GETCHA,50000,0.44942
5,"(4, 5)",IAC,Uncovered Set,50000,0.44942
5,"(10, 11)",IAC,Split Cycle,50000,0.28552
5,"(10, 11)",IAC,Beat Path,50000,0.27106
5,"(10, 11)",IAC,Copeland,50000,0.18372
5,"(10, 11)",IAC,GETCHA,50000,0.40474
5,"(10, 11)",IAC,Uncovered Set,50000,0.40474
5,"(20, 21)",IAC,Split Cycle,50000,0.21988
5,"(20, 21)",IAC,Beat Path,50000,0.19784
5,"(20, 21)",IAC,Copeland,50000,0.18058
5,"(20, 21)",IAC,GETCHA,50000,0.36672
5,"(20, 21)",IAC,Uncovered Set,50000,0.36672
5,"(50, 51)",IAC,Split Cycle,50000,0.15364
5,"(50, 51)",IAC,Beat Path,50000,0.12534
5,"(50, 51)",IAC,Copeland,50000,0.18906
5,"(50, 51)",IAC,GETCHA,50000,0.32804
5,"(50, 51)",IAC,Uncovered Set,50000,0.32804
5,"(100, 101)",IAC,Split Cycle,50000,0.10738
5,"(100, 101)",IAC,Beat Path,50000,0.07762
5,"(100, 101)",IAC,Copeland,50000,0.195
5,"(100, 101)",IAC,GETCHA,50000,0.2998
5,"(100, 101)",IAC,Uncovered Set,50000,0.2998
5,"(500, 501)",IAC,Split Cycle,50000,0.05162
5,"(500, 501)",IAC,Beat Path,50000,0.02144
5,"(500, 501)",IAC,Copeland,50000,0.20892
5,"(500, 501)",IAC,GETCHA,50000,0.26502
5,"(500, 501)",IAC,Uncovered Set,50000,0.26502
5,"(1000, 1001)",IAC,Split Cycle,50000,0.04104
5,"(1000, 1001)",IAC,Beat Path,50000,0.01166
5,"(1000, 1001)",IAC,Copeland,50000,0.2126
5,"(1000, 1001)",IAC,GETCHA,50000,0.25734
5,"(1000, 1001)",IAC,Uncovered Set,50000,0.25734
5,"(5000, 5001)",IAC,Split Cycle,50000,0.03266
5,"(5000, 5001)",IAC,Beat Path,50000,0.0025
5,"(5000, 5001)",IAC,Copeland,50000,0.21494
5,"(5000, 5001)",IAC,GETCHA,50000,0.25002
5,"(5000, 5001)",IAC,Uncovered Set,50000,0.25002
7,"(4, 5)",IAC,Split Cycle,50000,0.4657
7,"(4, 5)",IAC,Beat Path,50000,0.46306
7,"(4, 5)",IAC,Copeland,50000,0.19958
7,"(4, 5)",IAC,GETCHA,50000,0.54634
