num_cands,num_voters,pm,vm,perc_diff_sc,perc_diff_sc_ec,perc_refine_sc,perc_supset_sc,perc_disjoint_sc,num_profiles
20,"(500, 501)",URN-R,Beat Path,0.11486,0.06186,0.11486,0.0,0.0,50000
20,"(1000, 1001)",URN-R,Beat Path,0.11284,0.06048,0.11284,0.0,0.0,50000
20,"(5000, 5001)",URN-R,Beat Path,0.11304,0.06104,0.11304,0.0,0.0,50000
30,"(4, 5)",URN-R,Beat Path,0.03718,0.0262,0.03718,0.0,0.0,50000
30,"(10, 11)",URN-R,Beat Path,0.1173,0.0755,0.1173,0.0,0.0,50000
30,"(20, 21)",URN-R,Beat Path,0.1422,0.08758,0.1422,0.0,0.0,50000
30,"(50, 51)",URN-R,Beat Path,0.15114,0.08806,0.15114,0.0,0.0,50000
30,"(100, 101)",URN-R,Beat Path,0.15352,0.08858,0.15352,0.0,0.0,50000
30,"(500, 501)",URN-R,Beat Path,0.15444,0.0847,0.15444,0.0,0.0,50000
30,"(1000, 1001)",URN-R,Beat Path,0.1531,0.085,0.1531,0.0,0.0,50000
30,"(5000, 5001)",URN-R,Beat Path,0.1601,0.08844,0.1601,0.0,0.0,50000
5,"(4, 5)",MALLOWS-RELPHI-R,Beat Path,4e-05,0.0,4e-05,0.0,0.0,50000
5,"(10, 11)",MALLOWS-RELPHI-R,Beat Path,0.00368,0.002,0.00368,0.0,0.0,50000
5,"(20, 21)",MALLOWS-RELPHI-R,Beat Path,0.00362,0.00198,0.00362,0.0,0.0,50000
5,"(50, 51)",MALLOWS-RELPHI-R,Beat Path,0.0029,0.0016,0.0029,0.0,0.0,50000
5,"(100, 101)",MALLOWS-RELPHI-R,Beat Path,0.00242,0.00134,0.00242,0.0,0.0,50000
5,"(500, 501)",MALLOWS-RELPHI-R,Beat Path,0.00102,0.00044,0.00102,0.0,0.0,50000
5,"(1000, 1001)",MALLOWS-RELPHI-R,Beat Path,0.00076,0.0005,0.00076,0.0,0.0,50000
5,"(5000, 5001)",MALLOWS-RELPHI-R,Beat Path,0.0002,0.00012,0.0002,0.0,0.0,50000
7,"(4, 5)",MALLOWS-RELPHI-R,Beat Path,0.00082,0.00036,0.00082,0.0,0.0,50000
7,"(10, 11)",MALLOWS-RELPHI-R,Beat Path,0.00918,0.00544,0.00918,0.0,0.0,50000
7,"(20, 21)",MALLOWS-RELPHI-R,Beat Path,0.01008,0.00566,0.01008,0.0,0.0,50000
7,"(50, 51)",MALLOWS-RELPHI-R,Beat Path,0.00678,0.0037,0.00678,0.0,0.0,50000
7,"(100, 101)",MALLOWS-RELPHI-R,Beat Path,0.00448,0.00266,0.00448,0.0,0.0,50000
7,"(500, 501)",MALLOWS-RELPHI-R,Beat Path,0.0023,0.0013,0.0023,0.0,0.0,50000
7,"(1000, 1001)",MALLOWS-RELPHI-R,Beat Path,0.00182,0.00082,0.00182,0.0,0.0,50000
7,"(5000, 5001)",MALLOWS-RELPHI-R,Beat Path,0.00062,0.00036,0.00062,0.0,0.0,50000
10,"(4, 5)",MALLOWS-RELPHI-R,Beat Path,0.0035,0.00222,0.0035,0.0,0.0,50000
10,"(10, 11)",MALLOWS-RELPHI-R,Beat Path,0.021,0.0124,0.021,0.0,0.0,50000
10,"(20, 21)",MALLOWS-RELPHI-R,Beat Path,0.01948,0.01102,0.01948,0.0,0.0,50000
10,"(50, 51)",MALLOWS-RELPHI-R,Beat Path,0.0149,0.00828,0.0149,0.0,0.0,50000
10,"(100, 101)",MALLOWS-RELPHI-R,Beat Path,0.01142,0.006,0.01142,0.0,0.0,50000
10,"(500, 501)",MALLOWS-RELPHI-R,Beat Path,0.00494,0.00274,0.00494,0.0,0.0,50000
10,"(1000, 1001)",MALLOWS-RELPHI-R,Beat Path,0.00326,0.00166,0.00326,0.0,0.0,50000
10,"(5000, 5001)",MALLOWS-RELPHI-R,Beat Path,0.00144,0.00076,0.00144,0.0,0.0,50000
20,"(4, 5)",MALLOWS-RELPHI-R,Beat Path,0.02128,0.01456,0.02128,0.0,0.0,50000
20,"(10, 11)",MALLOWS-RELPHI-R,Beat Path,0.05994,0.03664,0.05994,0.0,0.0,50000
20,"(20, 21)",MALLOWS-RELPHI-R,Beat Path,0.053,0.03176,0.053,0.0,0.0,50000
20,"(50, 51)",MALLOWS-RELPHI-R,Beat Path,0.04048,0.02374,0.04048,0.0,0.0,50000
20,"(100, 101)",MALLOWS-RELPHI-R,Beat Path,0.02844,0.0166,0.02844,0.0,0.0,50000
20,"(500, 501)",MALLOWS-RELPHI-R,Beat Path,0.0123,0.00652,0.0123,0.0,0.0,50000
20,"(1000, 1001)",MALLOWS-RELPHI-R,Beat Path,0.00878,0.00448,0.00878,0.0,0.0,50000
20,"(5000, 5001)",MALLOWS-RELPHI-R,Beat Path,0.00392,0.0021,0.00392,0.0,0.0,50000
30,"(4, 5)",MALLOWS-RELPHI-R,Beat Path,0.04196,0.02872,0.04196,0.0,0.0,50000
30,"(10, 11)",MALLOWS-RELPHI-R,Beat Path,0.08856,0.05792,0.08856,0.0,0.0,50000
30,"(20, 21)",MALLOWS-RELPHI-R,Beat Path,0.08426,0.0533,0.08426,0.0,0.0,50000
30,"(50, 51)",MALLOWS-RELPHI-R,Beat Path,0.06236,0.03668,0.06236,0.0,0.0,50000
30,"(100, 101)",MALLOWS-RELPHI-R,Beat Path,0.04636,0.02656,0.04636,0.0,0.0,50000
30,"(500, 501)",MALLOWS-RELPHI-R,Beat Path,0.02238,0.01272,0.02238,0.0,0.0,50000
30,"(1000, 1001)",MALLOWS-RELPHI-R,Beat Path,0.0146,0.00834,0.0146,0.0,0.0,50000
30,"(5000, 5001)",MALLOWS-RELPHI-R,Beat Path,0.00662,0.00352,0.00662,0.0,0.0,50000
5,"(4, 5)",MALLOWS_2REF-RELPHI-R,Beat Path,0.00026,0.00016,0.00026,0.0,0.0,50000
5,"(10, 11)",MALLOWS_2REF-RELPHI-R,Beat Path,0.01038,0.00654,0.01038,0.0,0.0,50000
5,"(20, 21)",MALLOWS_2REF-RELPHI-R,Beat Path,0.01602,0.0091,0.01602,0.0,0.0,50000
5,"(50, 51)",MALLOWS_2REF-RELPHI-R,Beat Path,0.0208,0.01056,0.0208,0.0,0.0,50000
5,"(100, 101)",MALLOWS_2REF-RELPHI-R,Beat Path,0.02402,0.01288,0.02402,0.0,0.0,50000
5,"(500, 501)",MALLOWS_2REF-RELPHI-R,Beat Path,0.02536,0.01276,0.02536,0.0,0.0,50000
5,"(1000, 1001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.02594,0.0134,0.02594,0.0,0.0,50000
5,"(5000, 5001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.02672,0.01342,0.02672,0.0,0.0,50000
7,"(4, 5)",MALLOWS_2REF-RELPHI-R,Beat Path,0.00158,0.001,0.00158,0.0,0.0,50000
7,"(10, 11)",MALLOWS_2REF-RELPHI-R,Beat Path,0.03098,0.01874,0.03098,0.0,0.0,50000
7,"(20, 21)",MALLOWS_2REF-RELPHI-R,Beat Path,0.0444,0.02532,0.0444,0.0,0.0,50000
7,"(50, 51)",MALLOWS_2REF-RELPHI-R,Beat Path,0.05536,0.03094,0.05536,0.0,0.0,50000
7,"(100, 101)",MALLOWS_2REF-RELPHI-R,Beat Path,0.05748,0.03096,0.05748,0.0,0.0,50000
7,"(500, 501)",MALLOWS_2REF-RELPHI-R,Beat Path,0.0626,0.03192,0.0626,0.0,0.0,50000
7,"(1000, 1001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.0631,0.03238,0.0631,0.0,0.0,50000
7,"(5000, 5001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.062,0.03142,0.062,0.0,0.0,50000
10,"(4, 5)",MALLOWS_2REF-RELPHI-R,Beat Path,0.00734,0.00524,0.00734,0.0,0.0,50000
10,"(10, 11)",MALLOWS_2REF-RELPHI-R,Beat Path,0.06662,0.04136,0.06662,0.0,0.0,50000
10,"(20, 21)",MALLOWS_2REF-RELPHI-R,Beat Path,0.0906,0.05392,0.0906,0.0,0.0,50000
10,"(50, 51)",MALLOWS_2REF-RELPHI-R,Beat Path,0.10518,0.05976,0.10518,0.0,0.0,50000
10,"(100, 101)",MALLOWS_2REF-RELPHI-R,Beat Path,0.1146,0.06552,0.1146,0.0,0.0,50000
10,"(500, 501)",MALLOWS_2REF-RELPHI-R,Beat Path,0.11596,0.0614,0.11596,0.0,0.0,50000
10,"(1000, 1001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.11762,0.06354,0.11762,0.0,0.0,50000
10,"(5000, 5001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.11932,0.06246,0.11932,0.0,0.0,50000
20,"(4, 5)",MALLOWS_2REF-RELPHI-R,Beat Path,0.04794,0.035,0.04794,0.0,0.0,50000
20,"(10, 11)",MALLOWS_2REF-RELPHI-R,Beat Path,0.17904,0.12234,0.17904,0.0,0.0,50000
20,"(20, 21)",MALLOWS_2REF-RELPHI-R,Beat Path,0.21934,0.14294,0.21934,0.0,0.0,50000
20,"(50, 51)",MALLOWS_2REF-RELPHI-R,Beat Path,0.24744,0.15522,0.24744,0.0,0.0,50000
20,"(100, 101)",MALLOWS_2REF-RELPHI-R,Beat Path,0.25452,0.15598,0.25452,0.0,0.0,50000
20,"(500, 501)",MALLOWS_2REF-RELPHI-R,Beat Path,0.25656,0.1479,0.25656,0.0,0.0,50000
20,"(1000, 1001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.25836,0.148,0.25836,0.0,0.0,50000
20,"(5000, 5001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.25574,0.14268,0.25574,0.0,0.0,50000
30,"(4, 5)",MALLOWS_2REF-RELPHI-R,Beat Path,0.0947,0.07028,0.0947,0.0,0.0,50000
30,"(10, 11)",MALLOWS_2REF-RELPHI-R,Beat Path,0.2622,0.18662,0.2622,0.0,0.0,50000
30,"(20, 21)",MALLOWS_2REF-RELPHI-R,Beat Path,0.31474,0.21736,0.31474,0.0,0.0,50000
30,"(50, 51)",MALLOWS_2REF-RELPHI-R,Beat Path,0.34532,0.22646,0.34532,0.0,0.0,50000
30,"(100, 101)",MALLOWS_2REF-RELPHI-R,Beat Path,0.35334,0.22608,0.35334,0.0,0.0,50000
30,"(500, 501)",MALLOWS_2REF-RELPHI-R,Beat Path,0.34988,0.20902,0.34988,0.0,0.0,50000
30,"(1000, 1001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.35468,0.21224,0.35468,0.0,0.0,50000
30,"(5000, 5001)",MALLOWS_2REF-RELPHI-R,Beat Path,0.35198,0.20722,0.35198,0.0,0.0,50000
