num_cands,num_voters,pm,vm,num_profiles,perc_mult_winners
30,"(50, 51)",IC,Copeland,50,0.16
30,"(50, 51)",IC,GETCHA,50,0.9
30,"(50, 51)",IC,Uncovered Set,50,0.9
30,"(100, 101)",IC,Split Cycle,50,0.6
30,"(100, 101)",IC,Beat Path,50,0.28
30,"(100, 101)",IC,Copeland,50,0.08
30,"(100, 101)",IC,GETCHA,50,0.9
30,"(100, 101)",IC,Uncovered Set,50,0.9
30,"(500, 501)",IC,Split Cycle,50,0.18
30,"(500, 501)",IC,Beat Path,50,0.0
30,"(500, 501)",IC,Copeland,50,0.08
30,"(500, 501)",IC,GETCHA,50,0.54
30,"(500, 501)",IC,Uncovered Set,50,0.54
30,"(1000, 1001)",IC,Split Cycle,50,0.32
30,"(1000, 1001)",IC,Beat Path,50,0.06
30,"(1000, 1001)",IC,Copeland,50,0.24
30,"(1000, 1001)",IC,GETCHA,50,0.92
30,"(1000, 1001)",IC,Uncovered Set,50,0.92
30,"(5000, 5001)",IC,Split Cycle,50,0.32
30,"(5000, 5001)",IC,Beat Path,50,0.04
30,"(5000, 5001)",IC,Copeland,50,0.0
30,"(5000, 5001)",IC,GETCHA,50,0.7
30,"(5000, 5001)",IC,Uncovered Set,50,0.7
5,"(4, 5)",IAC,Split Cycle,50,0.36
5,"(4, 5)",IAC,Beat Path,50,0.36
5,"(4, 5)",IAC,Copeland,50,0.18
5,"(4, 5)",IAC,GETCHA,50,0.4
5,"(4, 5)",IAC,Uncovered Set,50,0.4
5,"(10, 11)",IAC,Split Cycle,50,0.28
5,"(10, 11)",IAC,Beat Path,50,0.28
5,"(10, 11)",IAC,Copeland,50,0.1
5,"(10, 11)",IAC,GETCHA,50,0.3
5,"(10, 11)",IAC,Uncovered Set,50,0.3
5,"(20, 21)",IAC,Split Cycle,50,0.34
5,"(20, 21)",IAC,Beat Path,50,0.34
5,"(20, 21)",IAC,Copeland,50,0.16
5,"(20, 21)",IAC,GETCHA,50,0.4
5,"(20, 21)",IAC,Uncovered Set,50,0.4
5,"(50, 51)",IAC,Split Cycle,50,0.18
5,"(50, 51)",IAC,Beat Path,50,0.18
5,"(50, 51)",IAC,Copeland,50,0.08
5,"(50, 51)",IAC,GETCHA,50,0.24
5,"(50, 51)",IAC,Uncovered Set,50,0.24
5,"(100, 101)",IAC,Split Cycle,50,0.08
5,"(100, 101)",IAC,Beat Path,50,0.08
5,"(100, 101)",IAC,Copeland,50,0.2
5,"(100, 101)",IAC,GETCHA,50,0.3
5,"(100, 101)",IAC,Uncovered Set,50,0.3
5,"(500, 501)",IAC,Split Cycle,50,0.04
5,"(500, 501)",IAC,Beat Path,50,0.02
5,"(500, 501)",IAC,Copeland,50,0.18
5,"(500, 501)",IAC,GETCHA,50,0.26
5,"(500, 501)",IAC,Uncovered Set,50,0.26
5,"(1000, 1001)",IAC,Split Cycle,50,0.04
5,"(1000, 1001)",IAC,Beat Path,50,0.0
5,"(1000, 1001)",IAC,Copeland,50,0.2
5,"(1000, 1001)",IAC,GETCHA,50,0.24
5,"(1000, 1001)",IAC,Uncovered Set,50,0.24
5,"(5000, 5001)",IAC,Split Cycle,50,0.02
5,"(5000, 5001)",IAC,Beat Path,50,0.0
5,"(5000, 5001)",IAC,Copeland,50,0.26
5,"(5000, 5001)",IAC,GETCHA,50,0.3
5,"(5000, 5001)",IAC,Uncovered Set,50,0.3
7,"(4, 5)",IAC,Split Cycle,50,0.3
7,"(4, 5)",IAC,Beat Path,50,0.3
7,"(4, 5)",IAC,Copeland,50,0.1
7,"(4, 5)",IAC,GETCHA,50,0.44
7,"(4, 5)",IAC,Uncovered Set,50,0.44
7,"(10, 11)",IAC,Split Cycle,50,0.62
7,"(10, 11)",IAC,Beat Path,50,0.58
7,"(10, 11)",IAC,Copeland,50,0.24
7,"(10, 11)",IAC,GETCHA,50,0.72
7,"(10, 11)",IAC,Uncovered Set,50,0.72
7,"(20, 21)",IAC,Split Cycle,50,0.46
7,"(20, 21)",IAC,Beat Path,50,0.36
7,"(20, 21)",IAC,Copeland,50,0.38
7,"(20, 21)",IAC,GETCHA,50,0.76
7,"(20, 21)",IAC,Uncovered Set,50,0.76
